source,target,relation,weight
U0014,T00793,assigné_à,1
T01397,C0034,appartient_à,1
T00361,TAG002,tagué,1
U0011,M00621,a_envoyé,1
M00749,T01610,lié_à,1
T01754,TAG005,tagué,1
U0091,T02393,a_créé,1
U0078,T01816,a_créé,1
U0051,T00652,assigné_à,1
U0039,M00524,a_envoyé,1
T01217,TAG023,tagué,1
T01038,TAG014,tagué,1
U0098,T02056,a_créé,1
U0026,T02977,a_créé,1
T02040,TAG004,tagué,1
T02749,C0026,appartient_à,1
T02806,TAG005,tagué,1
U0067,C0029,gère,3
T00229,TAG009,tagué,1
U0009,T00083,assigné_à,1
T01250,C0015,appartient_à,1
U0043,M00310,a_envoyé,1
U0090,T02261,a_créé,1
U0036,T02232,assigné_à,1
T02821,TAG003,tagué,1
T01361,C0035,appartient_à,1
T00794,TAG004,tagué,1
T01876,TAG013,tagué,1
U0089,T00782,assigné_à,1
U0048,C0004,gère,1
U0064,T01351,a_créé,1
U0030,T00712,a_créé,1
T02123,C0038,appartient_à,1
T01378,TAG006,tagué,1
T00282,C0039,appartient_à,1
U0083,T01375,a_créé,1
U0001,M00425,a_envoyé,1
U0062,M00872,a_envoyé,1
T02162,TAG012,tagué,1
U0018,T02661,a_créé,1
U0094,T02253,a_créé,1
T01898,TAG003,tagué,1
T00311,TAG024,tagué,1
T01054,TAG001,tagué,1
T00541,TAG002,tagué,1
T01328,TAG015,tagué,1
T00728,C0050,appartient_à,1
T03455,C0017,appartient_à,1
T01822,TAG023,tagué,1
T02146,TAG020,tagué,1
T01492,C0050,appartient_à,1
T00939,TAG017,tagué,1
T00395,TAG013,tagué,1
T01633,TAG013,tagué,1
U0038,T01776,assigné_à,1
T02657,TAG005,tagué,1
T01031,C0029,appartient_à,1
U0061,T01889,a_créé,1
T01862,TAG021,tagué,1
U0020,T01027,assigné_à,1
U0058,T03409,assigné_à,1
T00316,C0036,appartient_à,1
U0093,T01461,a_créé,1
T01215,C0053,appartient_à,1
T01227,TAG012,tagué,1
U0004,T02275,a_créé,1
T00693,TAG014,tagué,1
T02736,C0037,appartient_à,1
U0038,T02635,a_créé,1
U0003,T01660,a_créé,1
U0071,T01510,a_créé,1
U0032,T00468,assigné_à,1
U0017,M00765,a_envoyé,1
T03450,TAG011,tagué,1
T00213,TAG023,tagué,1
T01554,TAG018,tagué,1
U0018,T03006,assigné_à,1
T02314,TAG007,tagué,1
T00420,TAG025,tagué,1
U0060,T00865,a_créé,1
T02120,C0013,appartient_à,1
T01063,C0015,appartient_à,1
T01359,TAG019,tagué,1
U0003,T03345,a_créé,1
T01883,TAG011,tagué,1
M00503,T03110,lié_à,1
U0049,C0029,gère,1
U0090,T00152,assigné_à,1
T03202,TAG022,tagué,1
T02057,TAG010,tagué,1
T02485,C0049,appartient_à,1
T01531,C0011,appartient_à,1
T00392,C0002,appartient_à,1
T03222,TAG006,tagué,1
U0040,T02231,a_créé,1
U0060,M00191,a_envoyé,1
T02204,C0022,appartient_à,1
U0017,T02083,a_créé,1
T01714,C0028,appartient_à,1
T00693,C0023,appartient_à,1
U0069,T01850,a_créé,1
T00306,C0049,appartient_à,1
T00476,TAG025,tagué,1
U0048,M00390,a_envoyé,1
T02150,TAG015,tagué,1
U0020,C0045,gère,2
U0062,T02345,a_créé,1
T00779,TAG020,tagué,1
T02402,TAG023,tagué,1
M00465,T00500,lié_à,1
T00076,C0055,appartient_à,1
T02608,TAG022,tagué,1
T01500,TAG020,tagué,1
U0020,T01264,a_créé,1
T03317,TAG015,tagué,1
U0019,T03317,assigné_à,1
T00311,TAG001,tagué,1
T03185,C0016,appartient_à,1
T00960,TAG011,tagué,1
U0027,M00605,a_envoyé,1
U0094,T01011,a_créé,1
T02493,C0053,appartient_à,1
U0003,T03385,a_créé,1
U0076,T02665,assigné_à,1
T02039,C0044,appartient_à,1
U0033,T01421,a_créé,1
U0075,T01801,a_créé,1
U0065,T03136,assigné_à,1
T02448,TAG021,tagué,1
T00091,TAG022,tagué,1
T01455,TAG012,tagué,1
T03145,C0058,appartient_à,1
T01300,TAG025,tagué,1
T01933,C0043,appartient_à,1
U0007,T01125,a_créé,1
T01535,TAG004,tagué,1
U0065,T00203,a_créé,1
T03218,TAG014,tagué,1
U0082,T03419,a_créé,1
T03140,TAG018,tagué,1
T01537,TAG022,tagué,1
T01568,C0011,appartient_à,1
U0014,T02849,assigné_à,1
M00281,T02596,lié_à,1
T01549,C0049,appartient_à,1
U0029,T01049,a_créé,1
M00987,T01404,lié_à,1
T02852,TAG003,tagué,1
T01241,C0052,appartient_à,1
U0048,T03308,assigné_à,1
T01110,TAG005,tagué,1
T02530,TAG011,tagué,1
T01696,TAG007,tagué,1
U0097,M00445,a_envoyé,1
U0017,M00073,a_envoyé,1
T03398,TAG007,tagué,1
T01161,TAG009,tagué,1
U0026,T00809,a_créé,1
T01612,C0042,appartient_à,1
M00170,T01871,lié_à,1
U0026,T00023,a_créé,1
T02732,C0022,appartient_à,1
T01548,TAG001,tagué,1
T02420,TAG002,tagué,1
U0093,M01191,a_envoyé,1
T01061,C0048,appartient_à,1
T02964,C0004,appartient_à,1
T00945,TAG006,tagué,1
U0058,T02957,a_créé,1
T02261,TAG001,tagué,1
M00371,T02069,lié_à,1
T00455,C0019,appartient_à,1
U0067,T03469,assigné_à,1
T00534,C0011,appartient_à,1
U0084,T00973,assigné_à,1
T02378,TAG009,tagué,1
T01971,C0016,appartient_à,1
U0064,T00113,a_créé,1
T02559,TAG001,tagué,1
T00951,TAG021,tagué,1
T01941,TAG004,tagué,1
U0082,T00067,assigné_à,1
U0095,T01004,assigné_à,1
T01710,TAG013,tagué,1
U0065,M00964,a_envoyé,1
U0076,T02804,a_créé,1
M01001,T00877,lié_à,1
U0062,T01181,a_créé,1
U0068,C0047,gère,1
T01887,TAG008,tagué,1
T02460,TAG012,tagué,1
T02194,C0037,appartient_à,1
U0073,C0043,gère,5
U0094,T02325,a_créé,1
T02828,TAG003,tagué,1
T01289,C0018,appartient_à,1
U0016,T03263,a_créé,1
T00963,TAG017,tagué,1
T00592,TAG014,tagué,1
T00496,TAG018,tagué,1
T01569,TAG004,tagué,1
T02617,TAG004,tagué,1
U0049,T00751,a_créé,1
U0059,T01803,assigné_à,1
U0011,T01723,assigné_à,1
T01707,C0060,appartient_à,1
M00937,T02509,lié_à,1
U0098,M01162,a_envoyé,1
U0029,T00993,assigné_à,1
M00989,T02655,lié_à,1
T02693,TAG024,tagué,1
T02538,TAG003,tagué,1
U0092,T02609,assigné_à,1
T01105,C0042,appartient_à,1
T02404,TAG002,tagué,1
T02961,TAG009,tagué,1
T02087,TAG007,tagué,1
U0036,T01655,assigné_à,1
T00682,C0048,appartient_à,1
U0098,T02869,a_créé,1
T02976,TAG010,tagué,1
T03372,TAG005,tagué,1
T02975,C0058,appartient_à,1
U0052,T02724,assigné_à,1
M00737,T01991,lié_à,1
T00284,C0036,appartient_à,1
U0057,T02346,a_créé,1
U0098,T01140,a_créé,1
T02835,TAG004,tagué,1
T00830,C0016,appartient_à,1
T01404,C0041,appartient_à,1
T02598,TAG013,tagué,1
T00973,TAG023,tagué,1
T02751,TAG016,tagué,1
T02417,TAG013,tagué,1
T03136,TAG019,tagué,1
T00269,C0047,appartient_à,1
U0055,T03460,assigné_à,1
T03175,TAG004,tagué,1
T01148,TAG023,tagué,1
M00355,T01848,lié_à,1
M00547,T01405,lié_à,1
T03104,C0013,appartient_à,1
U0080,T00119,a_créé,1
T03148,TAG015,tagué,1
U0066,T01540,a_créé,1
U0073,T03168,a_créé,1
M00457,T02942,lié_à,1
T01527,TAG025,tagué,1
T02772,TAG022,tagué,1
U0033,T01775,assigné_à,1
M00804,T02689,lié_à,1
U0062,T01738,assigné_à,1
T00164,TAG002,tagué,1
U0072,M00994,a_envoyé,1
U0019,T03059,a_créé,1
U0025,T02046,a_créé,1
U0057,T00446,a_créé,1
T02081,TAG005,tagué,1
T00434,TAG005,tagué,1
U0006,T03180,a_créé,1
T00337,TAG012,tagué,1
T00200,C0020,appartient_à,1
U0046,T02659,assigné_à,1
T01738,C0024,appartient_à,1
T01766,TAG007,tagué,1
T02328,TAG001,tagué,1
T02585,TAG023,tagué,1
T02429,C0010,appartient_à,1
T01092,TAG025,tagué,1
U0035,T01872,a_créé,1
U0051,T00904,a_créé,1
T00441,C0036,appartient_à,1
T02347,C0012,appartient_à,1
T01859,TAG014,tagué,1
U0084,T01652,a_créé,1
T01366,TAG003,tagué,1
T03247,TAG011,tagué,1
U0061,T00323,assigné_à,1
U0074,M01197,a_envoyé,1
T03443,C0009,appartient_à,1
U0033,M00269,a_envoyé,1
U0027,T02296,assigné_à,1
T01975,TAG024,tagué,1
T02192,C0023,appartient_à,1
U0051,C0037,gère,4
U0043,T02967,a_créé,1
T02243,C0033,appartient_à,1
U0095,T01199,a_créé,1
U0095,T02125,assigné_à,1
T00582,C0052,appartient_à,1
T02090,TAG012,tagué,1
T02867,TAG015,tagué,1
T01446,TAG021,tagué,1
U0061,T02566,a_créé,1
T01147,TAG002,tagué,1
U0099,T02545,a_créé,1
T03124,C0026,appartient_à,1
T03473,TAG021,tagué,1
T00323,C0041,appartient_à,1
T00041,TAG001,tagué,1
T02345,C0022,appartient_à,1
U0009,T00917,assigné_à,1
M00357,T01635,lié_à,1
T02707,TAG008,tagué,1
U0089,M01094,a_envoyé,1
U0074,T02345,assigné_à,1
U0046,T01682,assigné_à,1
T03165,TAG022,tagué,1
T03222,C0036,appartient_à,1
U0007,C0046,gère,4
M00847,T02305,lié_à,1
T00228,TAG002,tagué,1
U0076,T01446,assigné_à,1
T00428,TAG016,tagué,1
T02035,TAG016,tagué,1
T02799,TAG001,tagué,1
T01394,C0043,appartient_à,1
T00357,TAG024,tagué,1
U0088,M00860,a_envoyé,1
T00916,TAG025,tagué,1
U0053,T03212,a_créé,1
T00583,TAG017,tagué,1
T01760,C0052,appartient_à,1
U0034,T02929,a_créé,1
T00351,C0059,appartient_à,1
U0040,M00096,a_envoyé,1
T02279,TAG009,tagué,1
T01211,TAG018,tagué,1
T00838,C0054,appartient_à,1
T00846,TAG007,tagué,1
U0089,T02875,a_créé,1
U0002,M00398,a_envoyé,1
U0002,C0027,gère,5
T02321,TAG003,tagué,1
T01028,TAG023,tagué,1
T02512,C0010,appartient_à,1
T00852,C0029,appartient_à,1
U0056,T00428,assigné_à,1
T02131,TAG019,tagué,1
T01232,TAG001,tagué,1
T00621,TAG011,tagué,1
T02586,TAG019,tagué,1
U0062,T02057,a_créé,1
T00299,TAG009,tagué,1
U0034,T01561,a_créé,1
T03049,TAG009,tagué,1
T02388,TAG011,tagué,1
T02081,TAG014,tagué,1
T00188,C0035,appartient_à,1
T00974,TAG002,tagué,1
U0073,T01445,a_créé,1
T00516,TAG016,tagué,1
T03286,TAG015,tagué,1
T00004,C0021,appartient_à,1
U0026,T03360,assigné_à,1
T03117,TAG019,tagué,1
U0020,T02431,assigné_à,1
T01445,TAG025,tagué,1
U0049,T01988,assigné_à,1
T02342,C0033,appartient_à,1
T01045,TAG019,tagué,1
T01314,TAG024,tagué,1
U0026,T02258,assigné_à,1
M00238,T03377,lié_à,1
T03079,TAG020,tagué,1
U0046,T02773,assigné_à,1
T00750,TAG015,tagué,1
U0040,T01327,assigné_à,1
T01073,TAG012,tagué,1
T02274,TAG023,tagué,1
T01130,C0032,appartient_à,1
T02311,TAG006,tagué,1
T02653,TAG004,tagué,1
T01911,C0023,appartient_à,1
U0060,T03383,assigné_à,1
U0045,T01774,a_créé,1
T00364,TAG004,tagué,1
T02106,TAG023,tagué,1
U0079,T02181,assigné_à,1
U0076,T03394,assigné_à,1
T02103,C0026,appartient_à,1
T02309,C0034,appartient_à,1
T00427,C0036,appartient_à,1
M00687,T02218,lié_à,1
T01704,TAG022,tagué,1
U0097,T01467,assigné_à,1
T01405,TAG012,tagué,1
T01140,TAG017,tagué,1
U0070,T01214,a_créé,1
U0027,T00862,assigné_à,1
T02972,TAG002,tagué,1
U0049,T01846,a_créé,1
U0066,T02273,a_créé,1
T00135,TAG007,tagué,1
T00977,TAG008,tagué,1
T01624,C0015,appartient_à,1
T03342,TAG025,tagué,1
U0038,T01539,a_créé,1
T00171,TAG021,tagué,1
T03016,TAG003,tagué,1
U0074,T00417,assigné_à,1
U0097,T02540,a_créé,1
U0072,M00435,a_envoyé,1
M00088,T00267,lié_à,1
U0087,T00103,a_créé,1
U0034,C0024,gère,1
T01379,TAG016,tagué,1
U0079,T01578,assigné_à,1
U0089,T01382,a_créé,1
T02435,TAG023,tagué,1
T01659,TAG014,tagué,1
T03019,TAG010,tagué,1
T02150,TAG005,tagué,1
T02385,TAG005,tagué,1
M00157,T00409,lié_à,1
T03241,TAG016,tagué,1
U0081,T01798,a_créé,1
T01152,TAG016,tagué,1
U0044,T02091,a_créé,1
T00936,TAG002,tagué,1
T02675,TAG007,tagué,1
U0038,T00943,assigné_à,1
U0059,T02653,assigné_à,1
U0091,T01017,a_créé,1
U0034,T02265,a_créé,1
U0067,M00229,a_envoyé,1
U0062,T01089,assigné_à,1
T02495,TAG019,tagué,1
U0055,T00709,a_créé,1
U0063,C0048,gère,10
U0004,T03467,a_créé,1
U0044,T01511,a_créé,1
T00972,C0012,appartient_à,1
M01192,T01415,lié_à,1
T00631,TAG001,tagué,1
U0060,T03322,assigné_à,1
T02673,TAG010,tagué,1
M01097,T03140,lié_à,1
T02998,TAG020,tagué,1
T02109,TAG015,tagué,1
T01860,TAG007,tagué,1
U0084,T00732,a_créé,1
T00491,C0005,appartient_à,1
U0049,T02072,assigné_à,1
M00614,T01756,lié_à,1
T03022,TAG006,tagué,1
U0092,T01353,assigné_à,1
T01774,C0032,appartient_à,1
U0019,T01454,a_créé,1
T01070,TAG013,tagué,1
U0047,T00048,a_créé,1
M00747,T02400,lié_à,1
T03109,C0052,appartient_à,1
T01302,TAG011,tagué,1
T02615,TAG020,tagué,1
U0038,T02332,assigné_à,1
T03174,C0049,appartient_à,1
T01154,C0005,appartient_à,1
T01665,TAG001,tagué,1
T02643,TAG012,tagué,1
U0059,T00724,a_créé,1
U0082,T01047,assigné_à,1
U0045,T02430,a_créé,1
U0021,M00642,a_envoyé,1
T00157,TAG017,tagué,1
T01192,C0052,appartient_à,1
M00124,T01210,lié_à,1
T03233,TAG023,tagué,1
T00973,C0044,appartient_à,1
T01863,TAG019,tagué,1
U0032,T02192,a_créé,1
T02256,TAG019,tagué,1
U0086,T02399,assigné_à,1
U0075,C0051,gère,2
M00553,T03408,lié_à,1
U0077,T03399,a_créé,1
U0046,T03064,assigné_à,1
T00170,TAG004,tagué,1
T00747,TAG011,tagué,1
U0004,T01950,a_créé,1
U0002,M00564,a_envoyé,1
T01395,TAG019,tagué,1
U0055,M00794,a_envoyé,1
U0077,T02396,a_créé,1
U0078,M00003,a_envoyé,1
T01514,TAG015,tagué,1
T00803,TAG016,tagué,1
T02333,C0021,appartient_à,1
U0031,T03250,a_créé,1
U0016,T00908,assigné_à,1
T01501,TAG007,tagué,1
T02636,TAG001,tagué,1
T02671,TAG015,tagué,1
U0024,T00529,assigné_à,1
T00770,TAG001,tagué,1
U0066,T02613,a_créé,1
U0032,M00703,a_envoyé,1
T02098,TAG021,tagué,1
T00017,TAG013,tagué,1
T01824,C0025,appartient_à,1
T02679,TAG010,tagué,1
U0012,T03330,a_créé,1
M00560,T00076,lié_à,1
T02517,TAG009,tagué,1
T00796,TAG005,tagué,1
T01647,TAG014,tagué,1
T03254,TAG024,tagué,1
T02858,TAG022,tagué,1
T03363,C0022,appartient_à,1
U0021,M01055,a_envoyé,1
U0066,T00658,assigné_à,1
M00779,T00628,lié_à,1
T02872,TAG010,tagué,1
T01247,TAG013,tagué,1
U0008,T02775,assigné_à,1
T00376,TAG017,tagué,1
T00178,TAG005,tagué,1
M00971,T02701,lié_à,1
U0011,T00297,a_créé,1
U0015,T00352,a_créé,1
U0092,T02594,a_créé,1
T01065,C0030,appartient_à,1
T00125,TAG003,tagué,1
M00485,T00881,lié_à,1
T02813,TAG016,tagué,1
U0065,T00897,assigné_à,1
U0081,M00707,a_envoyé,1
U0098,M00066,a_envoyé,1
U0062,T03305,a_créé,1
T01352,C0015,appartient_à,1
U0073,T00021,a_créé,1
T01329,C0021,appartient_à,1
U0023,M00784,a_envoyé,1
T03447,C0005,appartient_à,1
T01714,TAG017,tagué,1
U0062,C0027,gère,6
T00272,C0033,appartient_à,1
T00494,C0045,appartient_à,1
U0022,T03195,assigné_à,1
T01165,TAG005,tagué,1
U0062,T02088,a_créé,1
T00860,TAG010,tagué,1
U0044,T01911,assigné_à,1
M00491,T02985,lié_à,1
M01066,T02596,lié_à,1
T02652,TAG007,tagué,1
M00674,T01341,lié_à,1
T02647,C0039,appartient_à,1
U0006,T01926,assigné_à,1
T01115,C0038,appartient_à,1
U0039,T01881,a_créé,1
T03039,TAG017,tagué,1
T01897,TAG003,tagué,1
U0086,T01172,a_créé,1
U0074,T02429,a_créé,1
T01836,TAG006,tagué,1
U0062,T00022,assigné_à,1
T01184,C0023,appartient_à,1
T02980,C0020,appartient_à,1
T02022,C0018,appartient_à,1
T00856,TAG025,tagué,1
T02970,C0004,appartient_à,1
U0045,T00811,a_créé,1
M00260,T00125,lié_à,1
U0044,M00963,a_envoyé,1
U0021,T00264,a_créé,1
T01747,TAG024,tagué,1
M00109,T00992,lié_à,1
U0035,T02732,a_créé,1
T03070,TAG001,tagué,1
T02965,TAG018,tagué,1
T02701,TAG021,tagué,1
U0098,T01552,assigné_à,1
U0054,T01099,assigné_à,1
T01094,TAG008,tagué,1
T00642,C0058,appartient_à,1
U0035,T01209,a_créé,1
T02412,C0034,appartient_à,1
T00008,TAG023,tagué,1
T00508,C0004,appartient_à,1
T01914,TAG020,tagué,1
M00399,T01744,lié_à,1
T03329,C0021,appartient_à,1
U0037,T00456,a_créé,1
T01793,TAG005,tagué,1
U0092,T00586,assigné_à,1
M00410,T01707,lié_à,1
T00360,TAG005,tagué,1
U0006,T00967,a_créé,1
T03011,TAG025,tagué,1
U0015,T01366,a_créé,1
U0046,T01117,assigné_à,1
T01367,TAG013,tagué,1
U0053,T02745,assigné_à,1
U0004,C0059,gère,10
U0084,T01217,assigné_à,1
T00093,C0040,appartient_à,1
T01612,TAG024,tagué,1
T01654,TAG012,tagué,1
T01309,TAG002,tagué,1
U0071,T02908,assigné_à,1
T02335,TAG021,tagué,1
T01676,TAG009,tagué,1
T00133,C0016,appartient_à,1
U0026,T00054,assigné_à,1
T02040,TAG007,tagué,1
U0037,M01090,a_envoyé,1
T00760,TAG011,tagué,1
T00244,TAG022,tagué,1
U0032,T02716,assigné_à,1
U0016,M00941,a_envoyé,1
T02203,TAG025,tagué,1
T02677,C0015,appartient_à,1
T02503,TAG004,tagué,1
T02355,C0027,appartient_à,1
U0098,T00322,assigné_à,1
U0013,T00720,assigné_à,1
T00547,TAG011,tagué,1
T00902,TAG015,tagué,1
U0020,T01640,a_créé,1
U0038,T00407,assigné_à,1
U0056,T00888,a_créé,1
T00792,TAG021,tagué,1
T02937,C0023,appartient_à,1
U0098,T03235,a_créé,1
T02664,C0060,appartient_à,1
M00011,T00770,lié_à,1
U0036,T02054,assigné_à,1
U0064,T02183,a_créé,1
T02375,C0009,appartient_à,1
T01754,TAG025,tagué,1
T02694,TAG022,tagué,1
T02592,TAG016,tagué,1
U0044,T03299,a_créé,1
T00027,C0041,appartient_à,1
U0028,T01804,assigné_à,1
T02560,TAG016,tagué,1
U0033,M00654,a_envoyé,1
U0046,T00663,a_créé,1
T01132,C0049,appartient_à,1
U0036,T03027,assigné_à,1
T02650,TAG009,tagué,1
T01877,TAG015,tagué,1
T00480,C0017,appartient_à,1
U0030,T01122,a_créé,1
U0046,T01015,a_créé,1
U0064,C0060,gère,3
T02915,C0016,appartient_à,1
U0063,T00735,assigné_à,1
T00649,TAG013,tagué,1
M00372,T01354,lié_à,1
U0073,T00879,a_créé,1
T00033,C0040,appartient_à,1
T00398,C0040,appartient_à,1
T02028,TAG012,tagué,1
T00542,TAG021,tagué,1
U0086,T03343,assigné_à,1
U0091,T03387,a_créé,1
T03212,C0025,appartient_à,1
U0013,M00143,a_envoyé,1
T01380,C0001,appartient_à,1
M00531,T02937,lié_à,1
T03192,TAG024,tagué,1
T02459,TAG006,tagué,1
T00980,TAG007,tagué,1
U0073,M00547,a_envoyé,1
U0042,T02324,a_créé,1
T02032,TAG024,tagué,1
U0091,T02879,a_créé,1
M00650,T01749,lié_à,1
U0001,M00667,a_envoyé,1
U0022,T02145,a_créé,1
T00829,TAG002,tagué,1
U0093,T01386,assigné_à,1
U0047,M00922,a_envoyé,1
T00289,TAG025,tagué,1
T00068,TAG003,tagué,1
M00654,T03314,lié_à,1
U0078,T00066,a_créé,1
U0068,T02169,assigné_à,1
U0076,T01474,a_créé,1
M00605,T02810,lié_à,1
T01165,TAG012,tagué,1
T00058,C0035,appartient_à,1
T02840,TAG005,tagué,1
U0006,T02192,assigné_à,1
U0046,T00360,a_créé,1
T01813,TAG009,tagué,1
T00089,TAG004,tagué,1
U0064,T02158,assigné_à,1
U0026,M00170,a_envoyé,1
T00504,TAG005,tagué,1
U0019,T02901,a_créé,1
T02066,TAG006,tagué,1
T02782,TAG005,tagué,1
U0056,M00927,a_envoyé,1
T00780,TAG022,tagué,1
T01102,C0056,appartient_à,1
T01228,C0013,appartient_à,1
U0045,T01409,assigné_à,1
U0096,T02443,a_créé,1
U0058,T01713,a_créé,1
T01404,TAG009,tagué,1
M00030,T02204,lié_à,1
U0090,M00502,a_envoyé,1
T02434,TAG013,tagué,1
U0077,T01341,a_créé,1
T00516,TAG018,tagué,1
T01324,TAG004,tagué,1
U0096,T03013,assigné_à,1
T01230,C0011,appartient_à,1
T02638,TAG001,tagué,1
T03009,TAG021,tagué,1
U0098,M01059,a_envoyé,1
T00097,C0027,appartient_à,1
T01823,TAG018,tagué,1
T02462,TAG002,tagué,1
M00122,T01935,lié_à,1
T00523,TAG009,tagué,1
T02262,C0049,appartient_à,1
T00238,TAG019,tagué,1
T00444,TAG006,tagué,1
T00368,TAG007,tagué,1
T01109,TAG005,tagué,1
T00706,TAG016,tagué,1
T00047,TAG005,tagué,1
U0073,T00779,a_créé,1
T00904,TAG009,tagué,1
T00925,TAG007,tagué,1
M00148,T01259,lié_à,1
T00390,TAG025,tagué,1
U0074,M00418,a_envoyé,1
T00593,C0043,appartient_à,1
U0040,T00065,a_créé,1
U0051,C0012,gère,9
T03020,TAG023,tagué,1
U0052,M00258,a_envoyé,1
T01494,C0045,appartient_à,1
U0010,T02814,assigné_à,1
T01475,TAG025,tagué,1
T03213,C0005,appartient_à,1
T02546,TAG020,tagué,1
U0038,T02126,a_créé,1
T01074,C0011,appartient_à,1
U0002,T03230,a_créé,1
U0058,T02572,assigné_à,1
T01096,C0026,appartient_à,1
T02397,TAG010,tagué,1
U0072,T00674,assigné_à,1
U0080,T01252,a_créé,1
T03462,TAG005,tagué,1
T03394,C0028,appartient_à,1
U0008,T03125,assigné_à,1
U0053,T02783,assigné_à,1
T01123,C0035,appartient_à,1
T00266,TAG014,tagué,1
U0035,T00251,a_créé,1
U0075,M00520,a_envoyé,1
U0032,T00573,a_créé,1
T02706,TAG006,tagué,1
T00172,TAG009,tagué,1
T00994,TAG024,tagué,1
U0073,T01688,assigné_à,1
T02843,TAG025,tagué,1
T01686,TAG020,tagué,1
T01478,C0022,appartient_à,1
T01745,TAG019,tagué,1
T02470,C0019,appartient_à,1
T00754,C0044,appartient_à,1
T00389,C0027,appartient_à,1
T01422,C0053,appartient_à,1
T02008,TAG009,tagué,1
T01556,TAG009,tagué,1
U0025,T03003,a_créé,1
M00947,T01475,lié_à,1
M00990,T02996,lié_à,1
T02857,TAG024,tagué,1
T00236,TAG023,tagué,1
T01458,TAG022,tagué,1
U0002,M00278,a_envoyé,1
T00289,C0059,appartient_à,1
T02088,TAG020,tagué,1
T03115,TAG023,tagué,1
T02044,TAG022,tagué,1
U0024,T02483,a_créé,1
T02275,TAG002,tagué,1
T03371,TAG015,tagué,1
T01290,TAG005,tagué,1
T03016,TAG014,tagué,1
U0050,T02255,assigné_à,1
U0085,T00600,a_créé,1
T01216,TAG002,tagué,1
T00525,C0024,appartient_à,1
T03428,TAG013,tagué,1
T02973,C0038,appartient_à,1
T01548,C0011,appartient_à,1
U0052,T00069,assigné_à,1
U0035,T02664,assigné_à,1
T00985,TAG023,tagué,1
U0012,T00074,assigné_à,1
T01150,TAG023,tagué,1
U0074,T03258,a_créé,1
T02533,TAG012,tagué,1
T02457,TAG007,tagué,1
U0100,T01707,a_créé,1
U0045,T01118,assigné_à,1
T01448,C0054,appartient_à,1
T02919,TAG015,tagué,1
T03080,TAG009,tagué,1
T02655,TAG007,tagué,1
U0046,T03231,a_créé,1
U0074,M00862,a_envoyé,1
T00071,C0026,appartient_à,1
U0051,T01019,a_créé,1
T02233,TAG004,tagué,1
T00473,TAG007,tagué,1
U0020,M00047,a_envoyé,1
U0035,T00505,assigné_à,1
U0074,T00277,assigné_à,1
T00716,TAG014,tagué,1
T01816,TAG003,tagué,1
U0057,C0041,gère,2
U0047,T01037,a_créé,1
M00657,T00847,lié_à,1
T02690,TAG012,tagué,1
T03201,TAG015,tagué,1
U0037,T00782,a_créé,1
T01608,TAG020,tagué,1
M00179,T01252,lié_à,1
T01185,TAG001,tagué,1
T02979,TAG025,tagué,1
T01313,TAG015,tagué,1
T01989,TAG009,tagué,1
U0055,M00896,a_envoyé,1
M00151,T01843,lié_à,1
T00845,C0027,appartient_à,1
U0011,T01229,assigné_à,1
T00769,TAG016,tagué,1
T00084,C0045,appartient_à,1
T00739,C0021,appartient_à,1
T00107,TAG022,tagué,1
U0019,T01474,assigné_à,1
M00320,T00763,lié_à,1
U0014,T02240,assigné_à,1
T03465,TAG012,tagué,1
M00276,T00570,lié_à,1
T03151,C0018,appartient_à,1
T01159,TAG019,tagué,1
M01085,T02924,lié_à,1
M00798,T01315,lié_à,1
U0014,T01001,assigné_à,1
T00140,TAG016,tagué,1
M00891,T01950,lié_à,1
U0092,T00126,a_créé,1
T00214,TAG022,tagué,1
T01258,TAG003,tagué,1
T00957,TAG012,tagué,1
U0002,T03498,a_créé,1
T03075,TAG002,tagué,1
T01353,TAG006,tagué,1
U0049,T02363,a_créé,1
T01408,C0039,appartient_à,1
T02522,TAG022,tagué,1
T02551,C0032,appartient_à,1
T02865,C0055,appartient_à,1
T02054,TAG002,tagué,1
U0022,T02097,assigné_à,1
M00047,T02141,lié_à,1
T00066,TAG001,tagué,1
T02633,TAG023,tagué,1
T02294,TAG009,tagué,1
T00210,C0033,appartient_à,1
T00997,TAG009,tagué,1
T00374,C0029,appartient_à,1
U0092,T02585,assigné_à,1
T01675,TAG003,tagué,1
T01138,C0003,appartient_à,1
T02182,C0016,appartient_à,1
T02104,C0014,appartient_à,1
T00442,TAG017,tagué,1
T01746,TAG024,tagué,1
T01909,TAG011,tagué,1
T00013,C0020,appartient_à,1
T02020,TAG017,tagué,1
T02774,TAG004,tagué,1
T01107,C0023,appartient_à,1
U0085,T01636,assigné_à,1
T03312,C0056,appartient_à,1
M00929,T00716,lié_à,1
T02269,TAG025,tagué,1
T00910,TAG015,tagué,1
T00965,C0037,appartient_à,1
T00748,TAG018,tagué,1
U0034,T03391,assigné_à,1
U0071,T00627,assigné_à,1
T00274,C0004,appartient_à,1
T00258,C0040,appartient_à,1
T02120,TAG025,tagué,1
U0026,C0045,gère,3
U0060,M00995,a_envoyé,1
M01058,T00075,lié_à,1
U0022,M00163,a_envoyé,1
M01167,T01994,lié_à,1
T00876,TAG003,tagué,1
T00723,TAG014,tagué,1
M00158,T00195,lié_à,1
M00044,T00238,lié_à,1
U0009,T03410,a_créé,1
